Date,HMFSI
1877-12-01,1.2203866267923693
1878-01-01,1.4788812114465713
1878-02-01,1.100970388290089
1878-03-01,0.595579432357024
1878-04-01,0.7259548860144435
1878-05-01,0.9367439025485137
1878-06-01,0.2307399224924678
1878-07-01,0.16000962901544974
1878-08-01,-0.34948303601933906
1878-09-01,-0.4389191719728239
1878-10-01,-0.38396266441966054
1878-11-01,-0.5237134093801755
1878-12-01,-0.35266500539843254
1879-01-01,-0.8271375327801217
1879-02-01,-0.7962663060905324
1879-03-01,-0.8635548498545421
1879-04-01,-0.821849988355479
1879-05-01,-1.3180600433434453
1879-06-01,-1.4692499139760915
1879-07-01,-1.443500870022344
1879-08-01,-1.3733176781535787
1879-09-01,-1.3031203584642508
1879-10-01,-1.2759288060037035
1879-11-01,-1.3415152209421641
1879-12-01,-1.6326131893646585
1880-01-01,-1.6662295390207325
1880-02-01,-1.0518605543754485
1880-03-01,-1.0025158552031022
1880-04-01,-0.36003077433654135
1880-05-01,0.13047842697463677
1880-06-01,0.30897761284580616
1880-07-01,0.43716432412269113
1880-08-01,0.46083377038283635
1880-09-01,0.5292423407328651
1880-10-01,0.5474390932680612
1880-11-01,0.39731392161006035
1880-12-01,0.2784611167651783
1881-01-01,-0.033776400935888094
1881-02-01,0.652528593200624
1881-03-01,0.9047576551627237
1881-04-01,0.5480951345461758
1881-05-01,0.31325393435931115
1881-06-01,0.08396317415565108
1881-07-01,0.07579149322936418
1881-08-01,0.051851395126982516
1881-09-01,0.14930483881956813
1881-10-01,-0.007617638650582803
1881-11-01,0.008963154226658882
1881-12-01,-0.1905626882995428
1882-01-01,-1.009653224051597
1882-02-01,-0.7676857884751362
1882-03-01,-0.7026523063162358
1882-04-01,-0.6620192619570175
1882-05-01,-0.8221116497693798
1882-06-01,-0.8761412695645676
1882-07-01,-0.6824434607310055
1882-08-01,-0.6763607695687759
1882-09-01,-0.3879016062506245
1882-10-01,-0.32346614675787366
1882-11-01,-0.38254656636469314
1882-12-01,-0.3980798464139821
1883-01-01,-0.6565194189026241
1883-02-01,-0.585034687878291
1883-03-01,-0.4812427590933088
1883-04-01,-0.3959470178011308
1883-05-01,-0.34678425216689224
1883-06-01,-0.0773858648038376
1883-07-01,-0.025475560120272505
1883-08-01,-0.10912525135832762
1883-09-01,-0.371319154351347
1883-10-01,-0.457317330484597
1883-11-01,-0.5064109547195819
1883-12-01,-0.5766481122190789
1884-01-01,-0.6730695460533683
1884-02-01,-0.44930306864128167
1884-03-01,-0.4307128015278619
1884-04-01,-0.28568737898647817
1884-05-01,-0.17535980408871957
1884-06-01,-0.5105313684691013
1884-07-01,-0.6592156891825767
1884-08-01,-0.6972973838969856
1884-09-01,-0.7276944983405863
1884-10-01,-0.7158479445103533
1884-11-01,-0.6396536860201789
1884-12-01,-0.7473593646453589
1885-01-01,-1.0550339140819434
1885-02-01,-0.8606843249770797
1885-03-01,-0.6465868213236386
1885-04-01,-0.7390330201680044
1885-05-01,-0.6910814055120374
1885-06-01,-0.48430687741719813
1885-07-01,-0.5051839732653528
1885-08-01,-0.49960678561982735
1885-09-01,-0.4988838067006421
1885-10-01,-0.576837541214365
1885-11-01,-0.8150814527532568
1885-12-01,-0.9317657597290196
1886-01-01,-0.8314505437006009
1886-02-01,0.21281882502903096
1886-03-01,0.4240920881435062
1886-04-01,0.7423792240705812
1886-05-01,0.8865228090801804
1886-06-01,0.791365902249296
1886-07-01,0.7922547082556425
1886-08-01,0.730537512705664
1886-09-01,0.5517559796979611
1886-10-01,0.42699706228100437
1886-11-01,0.2647252360692507
1886-12-01,-0.09114282728948739
1887-01-01,-1.2093341983964776
1887-02-01,-1.215483811624074
1887-03-01,-1.2975818011994225
1887-04-01,-1.396503209346471
1887-05-01,-1.7854980402810916
1887-06-01,-1.7414658487430545
1887-07-01,-1.4631398219822003
1887-08-01,-1.4209391258754254
1887-09-01,-1.2295793932866246
1887-10-01,-1.2429973010905113
1887-11-01,-1.2712204513374172
1887-12-01,-1.2266482069336815
1888-01-01,-1.2228640003664268
1888-02-01,0.10462708742531464
1888-03-01,0.49156132295101
1888-04-01,0.8551362393177154
1888-05-01,1.1108528656097167
1888-06-01,1.1677529693320177
1888-07-01,0.9980792749306955
1888-08-01,1.00041726351998
1888-09-01,0.7686504054240816
1888-10-01,0.6271753804621049
1888-11-01,0.42135640313060524
1888-12-01,0.07196527117138929
1889-01-01,-0.2704734681797876
1889-02-01,0.2145993159853589
1889-03-01,0.4568450536595144
1889-04-01,0.44922464536040474
1889-05-01,0.6730828628751286
1889-06-01,0.5855855497361638
1889-07-01,0.576346236307269
1889-08-01,0.5320426749244631
1889-09-01,0.46052729417193816
1889-10-01,0.3712518960402007
1889-11-01,0.22434463274360553
1889-12-01,0.015268015488753632
1890-01-01,-0.760505740007336
1890-02-01,-0.2649122857468888
1890-03-01,-0.1783748275916468
1890-04-01,-0.05384315700627834
1890-05-01,-0.3911327480428373
1890-06-01,-0.3385083986798028
1890-07-01,-0.3258875942885037
1890-08-01,-0.1859271324507298
1890-09-01,-0.2247104910803042
1890-10-01,-0.301429258401801
1890-11-01,-0.06496910964250083
1890-12-01,-0.21813668554550333
1891-01-01,-1.0430956982291513
1891-02-01,-0.48757371174926506
1891-03-01,-0.3174867594433439
1891-04-01,-0.23132371870583332
1891-05-01,0.10396222826990846
1891-06-01,0.5177333470314683
1891-07-01,0.6752330050304562
1891-08-01,0.5280629680944401
1891-09-01,0.5890467585096701
1891-10-01,0.50216386168879
1891-11-01,0.18734537302180254
1891-12-01,-0.01901626301057441
1892-01-01,-0.3880635737354167
1892-02-01,0.04897856408925171
1892-03-01,0.436067007715938
1892-04-01,0.48011856214542126
1892-05-01,0.4642855694618982
1892-06-01,0.24012332635807251
1892-07-01,0.3532705823534472
1892-08-01,0.30714517002397745
1892-09-01,0.13661391478766535
1892-10-01,0.04542314384119598
1892-11-01,-0.1630224825029685
1892-12-01,-0.378039446252655
1893-01-01,-1.2154382784817226
1893-02-01,-0.7311242724817728
